label,name_english,name_arabic,category,hardness_moh,luster,streak_color,cleavage,fracture,primary_color,acid_reaction,common_locations,description_for_ai
spodumene,Spodumene,سبودومين,Mineral,6.5-7,vitreous to dull,white,perfect,uneven,"colorless,white,gray,yellowish,greenish,pink,lilac",,,"هذا معدن الأوجيت، صلادته 5.5-6، لمعانه زجاجي إلى باهت، مخدشه أخضر رمادي أو بني، انفصامه جيد، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
jasper,Jasper,جاسبر ,Mineral,,,,,,,,,"هذا معدن السبينيل، صلادته 7.5-8، لمعانه زجاجي، مخدشه أبيض، ليس له انفصام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
augite,Augite,أوجيت,Mineral,5.5-6,vitreous to dull,grayish-green or brownish,good,uneven to conchoidal,"brownish,greenish,black",,,"هذا معدن الأندالوسيت، صلادته 6.5-7.5، لمعانه زجاجي، مخدشه عديم اللون، لديه انفصام منشوري واضح، ومكسره غير مستوٍ إلى شبه محاري، لا يتفاعل مع حمض HCl."
agate,Agate,عقيق,Mineral,,,,,,,,,
spinel,Spinel,سبينيل,Mineral,7.5-8,vitreous,white,none,uneven to conchoidal,"red ,green,blue,brown,black",,,
andalusite,Andalusite,أندالوسيت,Mineral,6.5-7.5,vitreous,colorless,distinct prismatic,uneven to sub-conchoidal,"pink,reddish,brownish,whitish,grayish,greenish",,,
flint,Flint,صوان,Mineral,,,,,,,,,
pollucite,Pollucite,بولوسيت,Mineral,,,,,,,,,
cuprite,Cuprite,كوبريت,Mineral,3.5-5,earthy ,brownish red,poor,uneven to conchoidal,"red ,green,blue,brown,black",,,
hedenbergite,Hedenbergite,هيدينبيرجيت,Mineral,5.5-6.5,vitreous to dull,white or gray,good,uneven to conchoidal,"brownish,grayish,greenish,dark green,black",,,
ilmenite,Ilmenite,إلمينيت,Mineral,5.0-6.0,Metallic to dull,black to brownish-red,none,uneven to conchoidal,"black,brownish black",,,
carnelian,Carnelian,كارنيليان (عقيق أحمر),Mineral,,,,,,,,,
actinolite,Actinolite,أكتينوليت,Mineral,5.0-6.0,vitreous,white ,good,splintery,light to blackish green,,,
chrysoprase,Chrysoprase,كريسوبريس,Mineral,,,,,,,,,
diopside,Diopside,ديوبسيد,Mineral,5.5-6.5,vitreous to dull,white ,good,uneven to conchoidal,"colorless,white,gray,green,greenish black",,,
tremolite,Tremolite,تريموليت,Mineral,,,,,,,,,
albite,Albite,ألبيت,Mineral,6-6.5,vitreous to pearly,white,perfect,uneven to conchoidal,"colorless,(may be bluish,gray,greenish or reddish)",,,
rutile,Rutile,روتيل,Mineral,6-6.5,sub-metallic to adamantine,pale brown to yellowish ,distinct ,uneven to conchoidal,"reddish brown,red,yellow,black",,,
zircon,Zircon,زركون,Mineral,7.5,"vitreous,adamantine or greasy",colorless,imperfect,uneven to conchoidal,"colorless,red,brown,green,gray,",,,
corundum,Corundum,كوروندوم,Mineral,9,vitreous to adamantine,white,none,uneven to conchoidal,many color,,,
celestine,Celestine,سيليستين,Mineral,3-3.5,vitreous,white,perfect,uneven,"colorless,white,gray,blue,yellpwish,orange,reddish,brown",,,
malachite,Malachite,ملاكيت ,Mineral,3.5-4,fibrous(silky)/no crystal face(vitreous to adamantine),pale green,perfect,uneven to sub-conchoidal,green,,,
nephrite,Nephrite,نيفريت,Mineral,,,,,,,,,
sphalerite,Sphalerite,سفاليريت,Mineral,3.5-4,resinous to adamantine,pale brown to colorless,perfect,cochoidal,"black,brown,yellow,red,green,gray,white",,,
wollastonite,Wollastonite,ولاستونيت,Mineral,4.5-5,vitreous to pearly,white,perfect,uneven,"white,grayish,pale green,colorless",,,
limonite,Limonite,ليمونيت,Mineral,4-5.5,"dull, earthy ",yellow-brown,none,uneven,"yellow,brown.blackish",,,
rhodonite,Rhodonite,رودونيت,Mineral,5.5-6.5,crystal face(vitreous)/cleavage(pearly),white,perfect,uneven to conchoidal,"pink,rose red,brownish red",,,
fluorite,Fluorite,فلوريت,Mineral,4,vitreous,white,perfect,cochoidal,"purple,green,colorless,white,yellow,pink,red,blue,black",,,
orthoclase,Orthoclase,أورثوكليز,Mineral,6,vitreous to pearly,white,perfect,uneven to conchoidal,"reddish,colorless,yellow,gray,green",,,
aragonite,Aragonite,أراغونيت,Mineral,3.5-4,resinous to vitreous,white,distinct ,subconchoidal,"white,colorless,gray,yellowish,green,blue,violet",,,
dolomite,Dolomite,دولوميت,Mineral,3.5-4,vitreous to pearly,white,perfect,subconchoidal,"colorless,white,gray,pink,brown",,,
pectolite,Pectolite,بكتوليت,Mineral,4.5-5,vitreous or silky,white,perfect,uneven,"white ,grayish,colorless",,,
grossular garnet,Grossular garnet,غارنيت جروسولار,Mineral,6.5-7,resinous to vitreous,white,none,uneven to conchoidal,"green,yellowish,brown,red,orange,pink,gray,black",,,
tourmaline,Tourmaline,تورمالين,Mineral,7,vitreous,colorless,very indistinct,uneven to conchoidal,"black,brown,green,pink,yellow",,,
apatite,Apatite,أباتيت,Mineral,5,vitreous to subresinous ,white,poor,uneven to conchoidal,"green,white,colorless,yellowish,bluish,reddish,brown,gray,purple",,,
kyanite,Kyanite,كاينيت,Mineral,5.5-7,vitreous / on cleavege surface(pearly),colorless,perfect,uneven,"blue,white,gray,green,yellow,pink,black",,,
cancrinite,Cancrinite,كانكرينيت,Mineral,5.0-6.0,"vitreous,pearly,greasy",colorless,perfect,uneven,"white,yellow,orange,pink,reddish,bluish",,,
andradite,Andradite,أندراديت,Mineral,,,,,,,,,
almandine garnet,Almandine garnet,ألماندين غارنت ,Mineral,7-7.5,resinous to vitreous,white,none,uneven to conchoidal,"deep red,reddish brown,brownish black",,,
barite,Barite,باريت,Mineral,3,resinous to vitreous,white,perfect,uneven,"colorless,white,gray,brown,reddish,bluish,greemish",,,
galena,Galena,جالينا,Mineral,2.5,metallic,gray, perfect cubic,subconchoidal,gray,,,
muscovite,Muscovite,موسكوفيت,Mineral,2.5,vitreous to pearly,white,perfect,uneven,"colorless,white, gray,yellow",,,
calcite,Calcite,كالسيت,Mineral,3,vitreous to pearly,white,perfect,subconchoidal,"colorless,gray,brown,",,,
aegirine,Aegirine,أوجيرين,Mineral,6,vitreous,yellowish gray,good,uneven,"green,greenish black,bkack,reddish brown",,,
eudialyte,Eudialyte,يودياليت,Mineral,5.0-6.0,vitreous to dull,white to pale pink,perfect,uneven,"yellowish,brownish,red,pink",,,
azurite,Azurite,أزوريت,Mineral,3.5-4,vitreous to dull,paler blue,perfect,cochoidal,deep blue,,,
goethite,Goethite,جيوثايت,Mineral,5-5.5, crystal face (adamantine )/otherwise(dull),orange to brownish,perfect,uneven,"blackish brown,reddish,yellowish brown",,,
epidote,Epidote,إيبيدوت,Mineral,6,vitreous,colorless,perfect,uneven,"yellowish green, green, brownish green,greenish black",,,
lapis lazuli,Lapis Lazuli,لازورد,Mineral,,,,,,,,,
scheelite,Scheelite,شيليت,Mineral,,,,,,,,,
vesuvian,Vesuvian,فيزوفيان,Mineral,,,,,,,,,
chalcopyrite,Chalcopyrite,كالكوبيريت,Mineral,3.5-4,metallic,greenish black,poor,uneven to conchoidal,brassy yellow,,,
analcime,Analcime,أنالسيم,Mineral,5-5.5,vitreous,white,very poor,subconchoidal,"colorless,gray,pink,yellow,greenish",,,
natrolite,Natrolite,ناتروليت,Mineral,6.5,resinous to vitreous,white,indistinct,uneven to conchoidal,"green,brown,red,white,yellow,purple",,,
amber,Amber,كهرمان,Mineral,,,,,,,,,
molybdenite,Molybdenite,موليبدينيت,Mineral,1-1.5,metallic,gray,perfect,uneven,gray,,,
pyrrhotite,Pyrrhotite,بيروتيت,Mineral,3.5-4.5,metallic,dark to black,none,uneven to sub-conchoidal,bronze red ,,,
prehnite,Prehnite,بريهنيت,Mineral,6-6.5,vitreous tp waxy,white,distinct ,uneven,"light green,colorless,white,gray",,,
siderite,Siderite,سيديريت,Mineral,4,"vitreous,pearly,silky",white,perfect rhombohedral,uneven,"gray,brown,greenish,reddish,black ",,,
creedit,Creedit,كريدت,Mineral,3.5-4,vitreous,white,perfect,cochoidal,"colorless,white,violite,purple,orange",,,
vivianite,Vivianite,فيفيانيت,Mineral,,,,,,,,,
titanite,Titanite,تيتانيت,Mineral,5-5.5,resinous to subadamantine,white,distinct ,uneven to sub-conchoidal,"green,brown,gray,reddish",,,
elbaite,Elbaite,إلبيت,Mineral,7-7.5,resinous to vitreous,white,indistinct,uneven to conchoidal,"red,pink,blue,yellow",,,
fluorapatite,Fluorapatite,فلورأباتيت,Mineral,5,vitreous,white,poor,uneven,"white,green,blue,brown",,,
garnet,Garnet,غارنيت,Mineral,6.5-7,vitreous,white,none,cochoidal to subconchoidal,"deep red,green,yellow,brown,black ",,,
halite,Halite,هاليت (ملح صخري),Mineral,2,vitreous,white,perfect,uneven to conchoidal,"white,colorless,orange",,,
talc,Talc,تالك,Mineral,1,"resinous to pearly, grwasy",white,perfect,uneven,"pale to dark green,gray,brownish,white",,,
olivine,Olivine,أوليفين (زبرجد زيتوني),Mineral,6.5-7,vitreous,colorless,imperfect,cochoidal,"green,yellowish green",,,
kaolinite,Kaolinite,كاولينيت,Mineral,2-2.5,dull or earthy,white,perfect,uneven,"white,colorless to yellowish,brownish",,,
