label,name_english,name_arabic,category,hardness_moh,luster,streak_color,cleavage,fracture,primary_color,acid_reaction,common_locations,description_for_ai
amethyst,Amethyst,???????,Mineral,7,Metallic,white,none,conchoidal,purple,,,"??? ???? ?????????? ?????? 7? ?????? ????? ????? ????? ??? ?? ??????? ?????? ?????? ?? ?????? ?? ??? HCl."
arsenopyrite,Arsenopyrite,???????????,Mineral,5.5-6,Metallic,black to gray,indistinct,uneven,silvery white,,,"??? ???? ?????????????? ?????? 5.5-6? ?????? ????? ????? ???? ??? ?????? ??????? ??? ????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
cobaltin,Cobaltin,????????,Mineral,5.5,Metallic,grayish-black,perfect,uneven,grayish black,,,"??? ???? ??????????? ?????? 5.5? ?????? ????? ????? ???? ?????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
arsenic,Arsenic,???????,Mineral,3.5,Metallic,pale gray,perfect,uneven,pale gray and darck gray ,,,"??? ???? ???????? ?????? 3.5? ?????? ????? ????? ????? ????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
pyrite,Pyrite,??????,Mineral,6-6.5,Metallic,greenish-black,indistinct,uneven to conchoidal,pale yellow,,,"??? ???? ????????? ?????? 6-6.5? ?????? ????? ????? ???? ????? ??????? ??? ????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
hornblende,Hornblende,?????????,Mineral,6,vitreous,gray or white,perfect,uneven,green,,,"??? ???? ???????????? ?????? 6? ?????? ?????? ????? ????? ?? ????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
amazonite,Amazonite,????????,Mineral,,,,,,,,,"??? ???? ????????? ?????? 5.5? ?????? ????? ????? ??? ????? ??? ?? ??????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
chromite,Chromite,??????,Mineral,5.5,Metallic,dark brown,none,uneven,black to brownish black,,,"??? ???? ???????? ?????? 5.5-6.5? ?????? ?????? ????? ????? ??? ?? ??????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
opal,Opal,?????,Mineral,5.5-6.5,vitreous,white,none,uneven to conchoidal,milky white or black with  a brilliant interplay of colors,,,"??? ???? ???????? ?????? 2-2.5? ?????? ????? ????? ???? ???? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
bismuth,Bismuth,?????,Mineral,2-2.5,Metallic,silvery white,perfect,uneven,silvery white,,,"??? ???? ?????????????? ?????? 3-4.5? ?????? ????? ????? ???? ?? ???? ??? ?? ??????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
tetrahedrite,Tetrahedrite,???????????,Mineral,3-4.5,Metallic,"black,brown,red",none,uneven to sub-conchoidal,silvery,,,"??? ???? ??????????? ?????? 5.5-6.5? ?????? ???? ?? ????? ????? ????? ??? ?? ??????? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
magnetite,Magnetite,????????,Mineral,5.5-6.5,Metallic or dull,black,none,uneven to sub-conchoidal,black,,,"??? ???? ????????????? ?????? 8.5? ?????? ?????? ????? ????? ???? ?????? ????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
chrysoberyl,Chrysoberyl,??????????,Mineral,8.5,vitreous,white,distinct ,uneven to conchoidal,"green,yellow,brownish,gray",,,"??? ???? ???????? ?????? 8? ?????? ?????? ????? ???? ?????? ???? ?????? ???? ?????? ??? ????? ??? ??? ?????? ?? ?????? ?? ??? HCl."
topaz,Topaz,?????,Mineral,8,vitreous,colorless,perfect,uneven to sub-conchoidal,"white,colorless,gray,yellow,orange,brown,greenish,purple,pink,bluish",,,"??? ???? ???????? ?????? 2.5? ?????? ??? ???? ?? ????? ????? ?????? ???? ?????? ???? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
cinnabar,Cinnabar,????? ,Mineral,2.5,sub-metallic or dull,scarlet,perfect,uneven to conchoidal,brownish red or scarlet,,,"??? ???? ???????? ?????? 7.5-8? ?????? ?????? ????? ????? ??????? ??? ????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
beryl,Beryl,?????,Mineral,7.5-8,vitreous,white,indistinct,uneven to conchoidal,"colorless,white,green,yellow,pink,red,blue",,,"??? ???? ????????????? ?????? 6-6.5? ?????? ?????? ????? ????? ???? ?????? ???? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
labradorite,Labradorite,??????????,Mineral,6-6.5,vitreous,white,perfect,uneven to conchoidal,"blue,gray,green,white,colorless",,,"??? ???? ?????? ?????? 2? ?????? ?????? ????? ????? ???? ?????? ???? ?????? ????? ?? ?????? ?? ??? HCl."
gypsum,Gypsum,???,Mineral,2,vitreous,white,perfect,splintery,"colorless,white,gray,greenish,yellowish,brownish,reddish",,,"??? ???? ?????????? ?????? 2-2.5? ?????? ???? ??? ??? ????? ????? ?????? ???? ?????? ???? ???? ????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
proustite,Proustite,???????,Mineral,2-2.5,adamantine to submetallic,scarlet,distinct rhombohedral,uneven to conchoidal,rich scarlet,,,"??? ???? ??????????? ?????? 6.5-7? ?????? ????? ??? ????? ????? ????? ???? ?????? ???? ?????? ??? ?????? ?? ?????? ?? ??? HCl."
spodumene,Spodumene,????????,Mineral,6.5-7,vitreous to dull,white,perfect,uneven,"colorless,white,gray,yellowish,greenish,pink,lilac",,,"??? ???? ???????? ?????? 5.5-6? ?????? ????? ??? ????? ????? ???? ????? ?? ???? ??????? ???? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
jasper,Jasper,????? ,Mineral,,,,,,,,,"??? ???? ????????? ?????? 7.5-8? ?????? ?????? ????? ????? ??? ?? ??????? ?????? ??? ????? ??? ?????? ?? ?????? ?? ??? HCl."
augite,Augite,?????,Mineral,5.5-6,vitreous to dull,grayish-green or brownish,good,uneven to conchoidal,"brownish,greenish,black",,,"??? ???? ???????????? ?????? 6.5-7.5? ?????? ?????? ????? ???? ?????? ???? ?????? ?????? ????? ?????? ??? ????? ??? ??? ?????? ?? ?????? ?? ??? HCl."
agate,Agate,????,Mineral,,,,,,,,,
spinel,Spinel,??????,Mineral,7.5-8,vitreous,white,none,uneven to conchoidal,"red ,green,blue,brown,black",,,
andalusite,Andalusite,?????????,Mineral,6.5-7.5,vitreous,colorless,distinct prismatic,uneven to sub-conchoidal,"pink,reddish,brownish,whitish,grayish,greenish",,,
flint,Flint,????,Mineral,,,,,,,,,
pollucite,Pollucite,???????,Mineral,,,,,,,,,
cuprite,Cuprite,??????,Mineral,3.5-5,earthy ,brownish red,poor,uneven to conchoidal,"red ,green,blue,brown,black",,,
hedenbergite,Hedenbergite,???????????,Mineral,5.5-6.5,vitreous to dull,white or gray,good,uneven to conchoidal,"brownish,grayish,greenish,dark green,black",,,
ilmenite,Ilmenite,???????,Mineral,5.0-6.0,Metallic to dull,black to brownish-red,none,uneven to conchoidal,"black,brownish black",,,
carnelian,Carnelian,????????? (???? ????),Mineral,,,,,,,,,
actinolite,Actinolite,?????????,Mineral,5.0-6.0,vitreous,white ,good,splintery,light to blackish green,,,
chrysoprase,Chrysoprase,?????????,Mineral,,,,,,,,,
diopside,Diopside,???????,Mineral,5.5-6.5,vitreous to dull,white ,good,uneven to conchoidal,"colorless,white,gray,green,greenish black",,,
tremolite,Tremolite,????????,Mineral,,,,,,,,,
albite,Albite,?????,Mineral,6-6.5,vitreous to pearly,white,perfect,uneven to conchoidal,"colorless,(may be bluish,gray,greenish or reddish)",,,
rutile,Rutile,?????,Mineral,6-6.5,sub-metallic to adamantine,pale brown to yellowish ,distinct ,uneven to conchoidal,"reddish brown,red,yellow,black",,,
zircon,Zircon,?????,Mineral,7.5,"vitreous,adamantine or greasy",colorless,imperfect,uneven to conchoidal,"colorless,red,brown,green,gray,",,,
corundum,Corundum,????????,Mineral,9,vitreous to adamantine,white,none,uneven to conchoidal,many color,,,
celestine,Celestine,????????,Mineral,3-3.5,vitreous,white,perfect,uneven,"colorless,white,gray,blue,yellpwish,orange,reddish,brown",,,
malachite,Malachite,?????? ,Mineral,3.5-4,fibrous(silky)/no crystal face(vitreous to adamantine),pale green,perfect,uneven to sub-conchoidal,green,,,
nephrite,Nephrite,??????,Mineral,,,,,,,,,
sphalerite,Sphalerite,????????,Mineral,3.5-4,resinous to adamantine,pale brown to colorless,perfect,cochoidal,"black,brown,yellow,red,green,gray,white",,,
wollastonite,Wollastonite,?????????,Mineral,4.5-5,vitreous to pearly,white,perfect,uneven,"white,grayish,pale green,colorless",,,
limonite,Limonite,???????,Mineral,4-5.5,"dull, earthy ",yellow-brown,none,uneven,"yellow,brown.blackish",,,
rhodonite,Rhodonite,???????,Mineral,5.5-6.5,crystal face(vitreous)/cleavage(pearly),white,perfect,uneven to conchoidal,"pink,rose red,brownish red",,,
fluorite,Fluorite,??????,Mineral,4,vitreous,white,perfect,cochoidal,"purple,green,colorless,white,yellow,pink,red,blue,black",,,
orthoclase,Orthoclase,?????????,Mineral,6,vitreous to pearly,white,perfect,uneven to conchoidal,"reddish,colorless,yellow,gray,green",,,
aragonite,Aragonite,????????,Mineral,3.5-4,resinous to vitreous,white,distinct ,subconchoidal,"white,colorless,gray,yellowish,green,blue,violet",,,
dolomite,Dolomite,???????,Mineral,3.5-4,vitreous to pearly,white,perfect,subconchoidal,"colorless,white,gray,pink,brown",,,
pectolite,Pectolite,???????,Mineral,4.5-5,vitreous or silky,white,perfect,uneven,"white ,grayish,colorless",,,
grossular garnet,Grossular garnet,?????? ????????,Mineral,6.5-7,resinous to vitreous,white,none,uneven to conchoidal,"green,yellowish,brown,red,orange,pink,gray,black",,,
tourmaline,Tourmaline,????????,Mineral,7,vitreous,colorless,very indistinct,uneven to conchoidal,"black,brown,green,pink,yellow",,,
apatite,Apatite,??????,Mineral,5,vitreous to subresinous ,white,poor,uneven to conchoidal,"green,white,colorless,yellowish,bluish,reddish,brown,gray,purple",,,
kyanite,Kyanite,??????,Mineral,5.5-7,vitreous / on cleavege surface(pearly),colorless,perfect,uneven,"blue,white,gray,green,yellow,pink,black",,,
cancrinite,Cancrinite,?????????,Mineral,5.0-6.0,"vitreous,pearly,greasy",colorless,perfect,uneven,"white,yellow,orange,pink,reddish,bluish",,,
andradite,Andradite,????????,Mineral,,,,,,,,,
almandine garnet,Almandine garnet,???????? ????? ,Mineral,7-7.5,resinous to vitreous,white,none,uneven to conchoidal,"deep red,reddish brown,brownish black",,,
barite,Barite,?????,Mineral,3,resinous to vitreous,white,perfect,uneven,"colorless,white,gray,brown,reddish,bluish,greemish",,,
galena,Galena,??????,Mineral,2.5,metallic,gray, perfect cubic,subconchoidal,gray,,,
muscovite,Muscovite,????????,Mineral,2.5,vitreous to pearly,white,perfect,uneven,"colorless,white, gray,yellow",,,
calcite,Calcite,??????,Mineral,3,vitreous to pearly,white,perfect,subconchoidal,"colorless,gray,brown,",,,
aegirine,Aegirine,???????,Mineral,6,vitreous,yellowish gray,good,uneven,"green,greenish black,bkack,reddish brown",,,
eudialyte,Eudialyte,????????,Mineral,5.0-6.0,vitreous to dull,white to pale pink,perfect,uneven,"yellowish,brownish,red,pink",,,
azurite,Azurite,??????,Mineral,3.5-4,vitreous to dull,paler blue,perfect,cochoidal,deep blue,,,
goethite,Goethite,???????,Mineral,5-5.5, crystal face (adamantine )/otherwise(dull),orange to brownish,perfect,uneven,"blackish brown,reddish,yellowish brown",,,
epidote,Epidote,???????,Mineral,6,vitreous,colorless,perfect,uneven,"yellowish green, green, brownish green,greenish black",,,
lapis lazuli,Lapis Lazuli,??????,Mineral,,,,,,,,,
scheelite,Scheelite,?????,Mineral,,,,,,,,,
vesuvian,Vesuvian,????????,Mineral,,,,,,,,,
chalcopyrite,Chalcopyrite,??????????,Mineral,3.5-4,metallic,greenish black,poor,uneven to conchoidal,brassy yellow,,,
analcime,Analcime,???????,Mineral,5-5.5,vitreous,white,very poor,subconchoidal,"colorless,gray,pink,yellow,greenish",,,
natrolite,Natrolite,????????,Mineral,6.5,resinous to vitreous,white,indistinct,uneven to conchoidal,"green,brown,red,white,yellow,purple",,,
amber,Amber,??????,Mineral,,,,,,,,,
molybdenite,Molybdenite,??????????,Mineral,1-1.5,metallic,gray,perfect,uneven,gray,,,
pyrrhotite,Pyrrhotite,???????,Mineral,3.5-4.5,metallic,dark to black,none,uneven to sub-conchoidal,bronze red ,,,
prehnite,Prehnite,???????,Mineral,6-6.5,vitreous tp waxy,white,distinct ,uneven,"light green,colorless,white,gray",,,
siderite,Siderite,???????,Mineral,4,"vitreous,pearly,silky",white,perfect rhombohedral,uneven,"gray,brown,greenish,reddish,black ",,,
creedit,Creedit,?????,Mineral,3.5-4,vitreous,white,perfect,cochoidal,"colorless,white,violite,purple,orange",,,
vivianite,Vivianite,????????,Mineral,,,,,,,,,
titanite,Titanite,???????,Mineral,5-5.5,resinous to subadamantine,white,distinct ,uneven to sub-conchoidal,"green,brown,gray,reddish",,,
elbaite,Elbaite,?????,Mineral,7-7.5,resinous to vitreous,white,indistinct,uneven to conchoidal,"red,pink,blue,yellow",,,
fluorapatite,Fluorapatite,??????????,Mineral,5,vitreous,white,poor,uneven,"white,green,blue,brown",,,
garnet,Garnet,??????,Mineral,6.5-7,vitreous,white,none,cochoidal to subconchoidal,"deep red,green,yellow,brown,black ",,,
halite,Halite,????? (??? ????),Mineral,2,vitreous,white,perfect,uneven to conchoidal,"white,colorless,orange",,,
talc,Talc,????,Mineral,1,"resinous to pearly, grwasy",white,perfect,uneven,"pale to dark green,gray,brownish,white",,,
olivine,Olivine,??????? (????? ??????),Mineral,6.5-7,vitreous,colorless,imperfect,cochoidal,"green,yellowish green",,,
kaolinite,Kaolinite,????????,Mineral,2-2.5,dull or earthy,white,perfect,uneven,"white,colorless to yellowish,brownish",,,
